Page,Title,Brand,Reference,Category,Subcategory,Availability,PriceHT,PriceTTC,SalePriceHT,SalePriceTTC,DiscountPercentage,ID,dateDebutPromo,dateFinPromo,product url,EAN
1,Trampoline 183 cm avec filet,SUN and SPORT,952705,Jeux Sportifs,Trampolines,Available in central stock,124.99,149.99,108.33,129.99,13.0,293115,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trampolines/ref-952705-trampoline-183-cm-avec-filet.htm,3760165468486.0
1,Playset Nurserie Chaton - Gabby et la Maison Magique,Spin Master,981418,Poupées Poupons,Maisons de poupée,Available in central stock,24.99,29.99,20.83,24.99,17.0,318850,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/poupees-poupons/maisons/ref-981418-playset-nurserie-chaton---gabby-et-la-maison-magique.htm,681147042834.0
1,Figurine Sparking Dragon Ball Super Saiyan 2 Goku 30 cm,Bandai,985696,Jeux d'imitation & Mondes imaginaires,Figurines,Available in central stock,33.33,39.99,24.99,29.99,25.0,322965,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/figurines/ref-985696-figurine-sparking-dragon-ball-super-saiyan-2-goku-30-cm.htm,3701405827106.0
1,Baladeur musical - Music'Kid ,VTech,890843,Jeux d'éveil,Activités d'éveil,Available in central stock,30.83,36.99,23.12,27.74,25.0,241322,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-deveil/activites/ref-890843-baladeur-musical---musickid-.htm,3417766155054.0
1,Pâte à modeler - Mon jardin de fleurs Play-Doh,Play Doh,984843,Jeux créatifs,"Pate à modeler, modelage et gravure",Available in central stock,18.33,21.99,16.66,19.99,9.0,322337,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-creatifs/pate/ref-984843-pate-a-modeler---mon-jardin-de-fleurs-play-doh.htm,5010996276001.0
1,Rollers 3 roues - 2-en-1- La Reine des Neiges 2,STAMP,859564,Jeux Sportifs,Skates Rollers et Patins,Available in central stock,37.49,44.99,33.33,39.99,11.0,231185,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/skates/ref-859564-rollers-3-roues---2-en-1--la-reine-des-neiges-2.htm,3496272443015.0
1,Qui est-ce ?,Hasbro Gaming,005251,Jeux de société,Jeux de réflexion,Available in central stock,19.99,23.99,14.99,17.99,25.0,5284,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-de-societe/jeux/ref-005251-qui-est-ce-.htm,5010996182999.0
1,Trampoline 244 cm avec filet,SUN and SPORT,250327,Jeux Sportifs,Trampolines,Available in central stock,166.66,199.99,149.99,179.99,10.0,201851,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trampolines/ref-250327-trampoline-244-cm-avec-filet.htm,3760165464297.0
1,Trottinette Pliable 2 roues - Avengers,STAMP,859519,Jeux Sportifs,Trottinettes,Available in central stock,29.16,34.99,24.99,29.99,14.0,231039,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trottinettes/ref-859519-trottinette-pliable-2-roues---avengers.htm,3496272990434.0
1,Poupée Barbie Extra Deluxe,Mattel,905260,Poupées Poupons,Barbie et poupées mannequin,Available in central stock,41.66,49.99,20.83,24.99,50.0,242050,2025-01-16T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/poupees-poupons/barbie/ref-905260-poupee-barbie-extra-deluxe.htm,194735056422.0
1,Cuisine en bois interactive Urban 4.0,WOOD N PLAY,964309,Jeux d'imitation & Mondes imaginaires,Cuisine et dinette,Available in central stock,66.66,79.99,58.33,69.99,13.0,306073,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/cuisine/ref-964309-cuisine-en-bois-interactive-urban-40.htm,8053735022955.0
1,Playset Poupée Ava et Leaf Color Change - L'École des licornes,Spin Master,985674,Poupées Poupons,Barbie et poupées mannequin,Available in central stock,31.66,37.99,24.99,29.99,21.0,322955,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/poupees-poupons/barbie/ref-985674-playset-poupee-ava-et-leaf-color-change---lecole-des-licornes.htm,681147051348.0
1,"Pack figrines 30 cm Superman, Batman et The Flash - DC Comics",Spin Master,968628,Jeux d'imitation & Mondes imaginaires,Figurines,Available in central stock,29.16,34.99,24.99,29.99,14.0,306071,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/figurines/ref-968628-pack-figrines-30-cm-superman-batman-et-the-flash---dc-comics.htm,681147056145.0
1,76266 - LEGO® Marvel - Endgame – Le Combat Final,LEGO,934574,Jeux de construction,"Lego, briques et blocs",Not available,87.49,104.99,43.74,52.49,50.0,260474,2025-01-16T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-de-construction/lego/ref-934574-76266---lego®-marvel---endgame---le-combat-final.htm,5702017419824.0
1,Trampoline 360 avec filet et échelle,SUN and SPORT,735056,Jeux Sportifs,Trampolines,Available in central stock,274.99,329.99,249.99,299.99,9.0,225343,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-sportifs/trampolines/ref-735056-trampoline-360-avec-filet-et-echelle.htm,3760165465300.0
1,Coffret de poupée Ariel et ses sœurs - Disney Princesses,Mattel,968638,Poupées Poupons,Barbie et poupées mannequin,Available in central stock,27.49,32.99,24.99,29.99,9.0,306035,2025-03-17T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/poupees-poupons/barbie/ref-968638-coffret-de-poupee-ariel-et-ses-sœurs---disney-princesses.htm,194735242771.0
